,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category
0,47210,1,0,0,1,,0,0,,,1500,,,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,NaN,NaN,NaN,0,20,3,NaN,NaN
1,47210,1,0,0,2,,0,0,,,1000,,,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,NaN,NaN,NaN,0,20,3,NaN,NaN
2,47210,1,0,0,3,,0,0,,,3000,,,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,NaN,NaN,NaN,0,20,3,NaN,NaN
3,47210,0,1,1,4,recombined,0,1,,A,1600,41,23,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,NaN,NaN,NaN,0,20,3,objects,faces
4,47210,0,1,1,5,intact,1,1,J,J,2500,19,45,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,NaN,NaN,NaN,0,20,3,faces,objects
5,47210,0,1,1,6,intact,1,0,H,H,2600,17,0,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,NaN,NaN,0,20,3,faces,outdoor_scenes
6,47210,0,1,1,7,recombined,0,1,,F,1600,28,6,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,NaN,NaN,0,20,3,body_parts,outdoor_scenes
7,47210,0,1,1,8,recombined,0,0,,B,3100,14,11,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN,NaN,NaN,1,20,3,faces,outdoor_scenes
8,47210,0,1,1,9,intact,1,0,E,E,2200,38,31,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,NaN,NaN,0,20,3,objects,body_parts
9,47210,0,1,1,10,intact,1,1,I,I,2800,24,8,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,NaN,NaN,NaN,0,20,3,body_parts,outdoor_scenes
10,47210,0,1,1,11,recombined,0,1,,J,1300,19,38,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,NaN,NaN,NaN,0,20,3,faces,objects
11,47210,0,1,1,12,intact,1,0,C,C,1300,5,30,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,NaN,NaN,NaN,0,20,3,outdoor_scenes,body_parts
12,47210,0,1,1,13,recombined,0,1,,K,3100,25,45,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,NaN,NaN,NaN,1,20,3,body_parts,objects
13,47210,0,1,1,14,intact,1,1,D,D,1300,36,14,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,NaN,NaN,NaN,0,20,3,objects,faces
14,47210,0,1,1,15,recombined,0,0,,G,1700,17,44,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,NaN,NaN,NaN,0,20,3,faces,objects
15,47210,0,1,1,16,intact,1,0,F,F,1400,13,28,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,NaN,NaN,NaN,0,20,3,faces,body_parts
16,47210,0,1,1,17,recombined,0,0,,E,2600,8,31,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,NaN,NaN,0,20,3,outdoor_scenes,body_parts
17,47210,0,1,1,18,intact,1,1,L,L,1800,35,16,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,NaN,NaN,NaN,0,20,3,body_parts,faces
18,47210,0,1,1,19,intact,1,1,K,K,1100,25,46,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,NaN,NaN,0,20,3,body_parts,objects
19,47210,0,1,1,20,recombined,0,1,,L,3100,35,5,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,NaN,NaN,NaN,1,20,3,body_parts,outdoor_scenes
20,47210,0,1,1,21,recombined,0,0,,I,2700,46,24,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,NaN,NaN,NaN,0,20,3,objects,body_parts
